student_id,moodle_user_key,workday_person_id
S000001,mdl_s000001,WD82117865
S000002,mdl_s000002,WD18983962
S000003,mdl_s000003,WD55962545
S000004,mdl_s000004,WD81229989
S000005,mdl_s000005,WD26521485
S000006,mdl_s000479,WD21455120
S000007,mdl_s000007,WD75495390
S000008,mdl_s000008,WD56187304
S000009,mdl_s000009,WD11094884
S000010,mdl_s000010,WD46412594
S000011,mdl_s000011,WD82749406
S000012,mdl_s000012,WD20049657
S000013,mdl_s000013,WD02239789
S000014,mdl_s000014,WD12468793
S000015,mdl_s000015,WD22044066
S000016,mdl_s000016,WD04536524
S000017,mdl_s000017,WD55714946
S000018,mdl_s000018,WD83986332
S000019,mdl_s000019,WD18483490
S000020,mdl_s000020,WD89085663
S000021,mdl_s000021,WD84877825
S000022,mdl_s000022,WD98575739
S000023,mdl_s000023,WD05737140
S000024,mdl_s000024,WD32941572
S000025,mdl_s000025,WD79076463
S000026,mdl_s000026,WD34871288
S000027,mdl_s000027,WD80636911
S000028,mdl_s000028,WD81987287
S000029,mdl_s000029,WD30154380
S000030,mdl_s000030,WD81164985
S000031,mdl_s000031,WD63598220
S000032,mdl_s000032,WD36666803
S000033,mdl_s000033,WD22990120
S000034,mdl_s000034,WD21615382
S000035,mdl_s000035,WD72784737
S000036,mdl_s000036,WD44723914
S000037,mdl_s000037,WD64589102
S000038,mdl_s000038,WD29440350
S000039,mdl_s000039,WD06529944
S000040,mdl_s000040,WD07385722
S000041,mdl_s000041,WD37073155
S000042,mdl_s000042,WD11612189
S000043,mdl_s000043,WD67128571
S000044,mdl_s000044,WD43626922
S000045,mdl_s000045,WD69205736
S000046,mdl_s000046,WD25667078
S000047,mdl_s000047,WD73134034
S000048,mdl_s000048,WD84804298
S000049,mdl_s000049,WD74891935
S000050,mdl_s000050,WD73807848
S000051,mdl_s000051,WD41819599
S000052,mdl_s000052,WD16368234
S000053,mdl_s000053,WD58456803
S000054,mdl_s000054,WD94402674
S000055,mdl_s000055,WD09148706
S000056,mdl_s000056,WD99938787
S000057,mdl_s000057,WD54300718
S000058,mdl_s000058,WD16415427
S000059,mdl_s000059,WD59854836
S000060,mdl_s000060,WD31949692
S000061,mdl_s000061,WD14669317
S000062,mdl_s000062,WD92293433
S000063,mdl_s000063,WD26181348
S000064,mdl_s000064,WD60315081
S000065,mdl_s000065,WD43467122
S000066,mdl_s000066,WD94565013
S000067,mdl_s000067,WD82440038
