workday_person_id,term_code,fafsa_received,pell_amount,institutional_grant,loans,balance_due
WD82117865,2024FA,true,0,2046,0,6233
WD18983962,2024FA,true,0,6017,3779,1860
WD75495390,2024FA,true,0,1691,0,76
WD11094884,2024FA,true,0,5810,3089,6337
WD04536524,2024FA,false,0,280,0,53
WD34871288,2024FA,false,0,2462,0,8940
WD81987287,2024FA,true,0,4411,5656,2669
WD22990120,2024FA,true,0,2276,0,6697
WD21615382,2024FA,true,2003,1364,1683,7739
WD44723914,2024FA,true,0,343,0,4608
WD06529944,2024FA,false,0,415,0,-629
WD37073155,2024FA,true,0,2238,0,3209
WD67128571,2024FA,true,0,1211,2627,5017
WD69205736,2024FA,true,0,6206,3427,5780
WD74891935,2024FA,true,0,3110,0,-1235
WD73807848,2024FA,true,0,1819,0,5302
WD41819599,2024FA,true,0,1017,361,8210
WD58456803,2024FA,true,0,2622,0,1807
WD99938787,2024FA,false,0,415,0,7455
WD54300718,2024FA,true,0,5557,2371,8605
WD59854836,2024FA,true,0,6602,6957,7399
WD14669317,2024FA,false,0,375,0,5975
WD92293433,2024FA,true,345,1817,7539,6493
WD60315081,2024FA,false,0,1673,0,6218
WD43467122,2024FA,true,0,5873,4827,-1675
WD38610489,2024FA,false,0,1247,0,886
WD24844248,2024FA,false,0,940,0,4157
WD51972604,2024FA,true,2967,2334,0,7223
WD98526908,2024FA,false,0,88,0,7909
WD09551657,2024FA,false,0,1032,0,-745
WD24881238,2024FA,false,0,2252,0,5132
WD31521015,2024FA,true,1343,821,0,5148
WD72781579,2024FA,true,3138,671,4402,6088
WD54682434,2024FA,true,0,4113,0,3210
WD22487957,2024FA,true,0,204,2876,3424
WD75597982,2024FA,true,0,1491,0,1307
WD18668019,2024FA,false,0,2072,0,821
WD27161284,2024FA,true,0,5952,6855,4314
WD69983435,2024FA,true,1820,755,145,4041
WD02052926,2024FA,true,192,6086,0,2151
WD04578932,2024FA,false,0,18,0,-1814
WD80334007,2024FA,true,0,1724,2247,5459
WD78339462,2024FA,true,2562,4149,2152,-2039
WD37343286,2024FA,false,0,903,0,7386
WD38530618,2024FA,true,0,5499,0,5123
WD01243688,2024FA,true,0,2213,7005,2113
WD12520005,2024FA,true,0,6583,6137,2244
WD55690240,2024FA,true,2170,4683,1373,6637
WD94945836,2024FA,true,3476,3288,3848,-297
WD30691410,2024FA,true,0,4127,152,3444
WD52855666,2024FA,true,0,2271,0,5107
WD30717305,2024FA,true,0,329,0,5047
WD11750602,2024FA,true,0,3819,0,-1660
WD54788745,2024FA,true,0,579,5158,6199
WD32976864,2024FA,true,0,3287,0,1200
WD07139880,2024FA,false,0,529,0,-2179
WD30638658,2024FA,true,0,3285,0,-2245
WD98412686,2024FA,false,0,2423,0,8347
WD53346744,2024FA,true,0,5818,7414,543
WD06676742,2024FA,false,0,2081,0,3308
WD82441560,2024FA,true,2688,2775,0,6001
WD10611405,2024FA,true,0,1315,0,5795
WD54633258,2024FA,false,0,385,0,-2129
WD95641814,2024FA,true,1210,2768,0,7286
WD11970054,2024FA,true,2696,6393,0,-2243
WD17624337,2024FA,false,0,350,0,2043
WD38829230,2024FA,true,0,1279,5482,-402
WD01162996,2024FA,false,0,1021,0,913
WD34934756,2024FA,false,0,959,0,6359
WD21977336,2024FA,true,0,1627,7955,6259
WD71931233,2024FA,true,0,5883,0,4282
WD46171172,2024FA,false,0,284,0,8819
WD60913611,2024FA,true,586,6758,6434,-71
WD22851374,2024FA,true,0,4083,0,5805
