moodle_user_key,term_code,course_shells,login_count,page_views,assignments_submitted,forum_posts,quiz_attempts,last_activity_date,lms_platform
mdl_s000001,2024FA,5,101,1260,61,7,10,2024-11-25,Moodle
mdl_s000002,2024FA,6,69,2078,43,13,2,2024-11-14,Moodle
mdl_s000004,2024FA,6,25,2738,29,4,17,2024-11-24,Moodle
mdl_s000005,2024FA,6,36,1556,54,28,15,2024-11-08,Moodle
mdl_s000479,2024FA,6,75,2271,25,9,10,2024-11-15,Moodle
mdl_s000007,2024FA,4,63,1853,2,28,9,2024-11-10,Moodle
mdl_s000008,2024FA,3,32,393,30,29,8,2024-11-19,Moodle
mdl_s000013,2024FA,5,137,677,40,7,6,2024-11-07,Moodle
mdl_s000015,2024FA,5,82,3015,33,6,6,2024-11-05,Moodle
mdl_s000016,2024FA,6,66,3672,42,22,15,2024-11-02,Moodle
mdl_s000022,2024FA,3,65,202,59,21,4,2024-11-02,Moodle
mdl_s000023,2024FA,4,44,3777,24,27,19,2024-11-21,Moodle
mdl_s000024,2024FA,6,102,3701,15,22,14,2024-11-03,Moodle
mdl_s000026,2024FA,6,101,1578,42,34,17,2024-11-03,Moodle
mdl_s000028,2024FA,6,61,3686,41,14,24,2024-11-01,Moodle
mdl_s000029,2024FA,5,16,3916,38,30,3,2024-11-24,Moodle
mdl_s000032,2024FA,6,123,147,38,24,17,2024-11-09,Moodle
mdl_s000033,2024FA,5,132,3175,64,27,14,2024-11-20,Moodle
mdl_s000034,2024FA,6,64,208,58,2,3,2024-11-07,Moodle
mdl_s000036,2024FA,3,18,1421,45,32,22,2024-11-13,Moodle
mdl_s000037,2024FA,5,26,645,38,0,3,2024-11-25,Moodle
mdl_s000039,2024FA,3,77,1686,4,22,20,2024-11-21,Moodle
mdl_s000041,2024FA,5,24,2067,16,20,7,2024-11-18,Moodle
mdl_s000043,2024FA,6,41,4113,5,6,7,2024-11-23,Moodle
mdl_s000044,2024FA,4,77,2010,9,1,24,2024-11-27,Moodle
mdl_s000046,2024FA,4,56,4143,16,15,19,2024-11-15,Moodle
mdl_s000047,2024FA,4,124,847,32,29,8,2024-11-17,Moodle
mdl_s000048,2024FA,5,110,2158,21,33,18,2024-11-22,Moodle
mdl_s000049,2024FA,4,42,1622,2,25,13,2024-11-05,Moodle
mdl_s000050,2024FA,3,124,4174,24,29,5,2024-11-25,Moodle
mdl_s000051,2024FA,5,43,3766,27,6,9,2024-11-05,Moodle
mdl_s000052,2024FA,3,119,1824,14,5,20,2024-11-25,Moodle
mdl_s000053,2024FA,6,32,2896,7,15,8,2024-11-19,Moodle
mdl_s000054,2024FA,6,103,3891,20,20,0,2024-11-01,Moodle
mdl_s000055,2024FA,3,130,2520,29,0,21,2024-11-13,Moodle
mdl_s000057,2024FA,6,64,1751,47,22,10,2024-11-25,Moodle
mdl_s000058,2024FA,4,52,3566,46,11,18,2024-11-04,Moodle
mdl_s000062,2024FA,6,59,2283,35,26,13,2024-11-26,Moodle
mdl_s000063,2024FA,3,113,1164,15,7,8,2024-11-26,Moodle
mdl_s000064,2024FA,6,108,1509,12,10,11,2024-11-02,Moodle
mdl_s000066,2024FA,3,67,2648,11,13,20,2024-11-20,Moodle
mdl_s000068,2024FA,6,93,4059,51,17,19,2024-11-20,Moodle
mdl_s000069,2024FA,4,49,3993,18,25,2,2024-11-21,Moodle
mdl_s000070,2024FA,5,107,2768,56,0,15,2024-11-02,Moodle
mdl_s000071,2024FA,6,73,2495,34,30,3,2024-11-22,Moodle
mdl_s000072,2024FA,5,92,2055,35,35,13,2024-11-26,Moodle
mdl_s000073,2024FA,4,21,2657,48,30,24,2024-11-23,Moodle
mdl_s000074,2024FA,4,81,1127,11,0,8,2024-11-12,Moodle
mdl_s000075,2024FA,5,34,2509,39,26,0,2024-11-22,Moodle
mdl_s000076,2024FA,5,20,2168,15,21,6,2024-11-04,Moodle
mdl_s000079,2024FA,6,128,3745,42,34,12,2024-11-01,Moodle
mdl_s000080,2024FA,6,96,3375,14,9,2,2024-11-17,Moodle
mdl_s000081,2024FA,4,122,4171,17,10,10,2024-11-10,Moodle
mdl_s000082,2024FA,3,134,2853,44,0,14,2024-11-27,Moodle
mdl_s000083,2024FA,4,139,2949,22,31,20,2024-11-19,Moodle
mdl_s000084,2024FA,5,87,3225,5,3,20,2024-11-23,Moodle
mdl_s000085,2024FA,6,139,1284,6,23,15,2024-11-17,Moodle
mdl_s000086,2024FA,3,56,1959,28,30,13,2024-11-01,Moodle
mdl_s000087,2024FA,5,37,1070,28,11,3,2024-11-18,Moodle
mdl_s000089,2024FA,3,38,1329,20,14,0,2024-11-25,Moodle
mdl_s000090,2024FA,5,78,3396,45,9,5,2024-11-26,Moodle
mdl_s000091,2024FA,4,18,1092,40,31,3,2024-11-02,Moodle
mdl_s000092,2024FA,5,28,3696,20,22,6,2024-11-24,Moodle
mdl_s000095,2024FA,4,71,1504,16,20,5,2024-11-20,Moodle
mdl_s000096,2024FA,3,66,2968,43,35,22,2024-11-22,Moodle
mdl_s000097,2024FA,5,97,3530,58,18,4,2024-11-02,Moodle
mdl_s000099,2024FA,6,65,1243,13,27,13,2024-11-26,Moodle
mdl_s000100,2024FA,4,24,3683,63,2,7,2024-11-14,Moodle
mdl_s000102,2024FA,6,17,637,50,17,16,2024-11-11,Moodle
mdl_s000103,2024FA,6,96,1187,10,12,17,2024-11-06,Moodle
mdl_s000104,2024FA,6,120,2575,9,12,13,2024-11-02,Moodle
mdl_s000106,2024FA,6,58,2468,2,35,18,2024-11-05,Moodle
mdl_s000108,2024FA,5,25,2394,23,2,20,2024-11-13,Moodle
mdl_s000110,2024FA,5,53,1560,14,32,25,2024-11-14,Moodle
mdl_s000114,2024FA,3,79,1649,6,13,19,2024-11-13,Moodle
mdl_s000115,2024FA,3,65,3778,12,25,5,2024-11-11,Moodle
mdl_s000116,2024FA,6,127,737,16,29,9,2024-11-03,Moodle
mdl_s000117,2024FA,3,104,759,36,22,4,2024-11-27,Moodle
mdl_s000118,2024FA,4,38,2612,13,24,11,2024-11-16,Moodle
mdl_s000119,2024FA,6,96,2674,38,11,23,2024-11-01,Moodle
mdl_s000120,2024FA,5,106,1190,9,9,14,2024-11-27,Moodle
mdl_s000124,2024FA,5,26,2727,18,18,4,2024-11-25,Moodle
mdl_s000126,2024FA,4,28,1589,24,22,9,2024-11-25,Moodle
mdl_s000127,2024FA,5,20,4047,51,34,11,2024-11-02,Moodle
mdl_s000130,2024FA,5,71,3555,12,16,22,2024-11-27,Moodle
mdl_s000131,2024FA,4,124,3505,53,20,6,2024-11-02,Moodle
mdl_s000132,2024FA,5,56,3202,65,21,7,2024-11-07,Moodle
mdl_s000133,2024FA,5,27,1226,25,23,15,2024-11-07,Moodle
mdl_s000135,2024FA,3,88,2246,24,7,14,2024-11-03,Moodle
mdl_s000136,2024FA,6,66,1097,23,9,20,2024-11-26,Moodle
mdl_s000137,2024FA,4,111,2490,63,1,7,2024-11-10,Moodle
mdl_s000138,2024FA,5,131,3809,22,16,23,2024-11-26,Moodle
mdl_s000140,2024FA,5,100,2279,3,0,10,2024-11-16,Moodle
mdl_s000142,2024FA,4,116,1979,10,9,18,2024-11-28,Moodle
mdl_s000143,2024FA,3,10,4108,59,12,20,2024-11-16,Moodle
mdl_s000147,2024FA,5,11,2695,40,10,11,2024-11-16,Moodle
mdl_s000148,2024FA,6,71,2725,57,2,6,2024-11-13,Moodle
mdl_s000150,2024FA,5,129,1798,31,4,4,2024-11-25,Moodle
mdl_s000151,2024FA,6,40,3498,29,24,13,2024-11-11,Moodle
mdl_s000279,2024FA,3,34,327,55,18,13,2024-11-09,Moodle
mdl_s000153,2024FA,4,31,1489,51,7,17,2024-11-28,Moodle
mdl_s000154,2024FA,5,26,1556,40,33,11,2024-11-18,Moodle
mdl_s000155,2024FA,3,52,2312,0,5,16,2024-11-20,Moodle
mdl_s000156,2024FA,3,17,3638,7,6,5,2024-11-14,Moodle
mdl_s000159,2024FA,6,30,3899,32,35,9,2024-11-24,Moodle
mdl_s000163,2024FA,6,120,3231,5,28,7,2024-11-15,Moodle
mdl_s000165,2024FA,6,128,776,49,34,4,2024-11-14,Moodle
mdl_s000167,2024FA,5,39,2850,19,33,18,2024-11-16,Moodle
mdl_s000169,2024FA,5,94,634,11,18,22,2024-11-26,Moodle
mdl_s000170,2024FA,5,113,2431,60,10,5,2024-11-11,Moodle
mdl_s000171,2024FA,3,59,115,54,11,21,2024-11-20,Moodle
mdl_s000172,2024FA,3,21,3722,23,1,16,2024-11-15,Moodle
