student_id,term_code,workday_course_section_id,subject,catalog_number,credits,grading_basis,letter_grade,grade_points
S000001,2024FA,WD-2024FA-NEUR-133C,NEUR,133,3,Graded,B-,2.77
S000001,2024FA,WD-2024FA-ENG-166C,ENG,166,3,Graded,B-,2.82
S000001,2024FA,WD-2024FA-ENG-184D,ENG,184,3,Graded,B-,2.71
S000001,2024FA,WD-2024FA-PHIL-105D,PHIL,105,4,Graded,B-,2.83
S000002,2024FA,WD-2024FA-MATH-105B,MATH,105,3,Graded,B,2.85
S000004,2024FA,WD-2024FA-ANTH-131D,ANTH,131,3,Graded,C+,2.2
S000004,2024FA,WD-2024FA-BUS-194A,BUS,194,3,Graded,B-,2.73
S000004,2024FA,WD-2024FA-PHIL-168D,PHIL,168,3,Graded,C+,2.44
S000004,2024FA,WD-2024FA-ENG-110B,ENG,110,3,Graded,C+,2.43
S000005,2024FA,WD-2024FA-AMST-104A,AMST,104,3,Graded,F,0.13
S000005,2024FA,WD-2024FA-HIST-138B,HIST,138,3,Graded,F,0.09
S000005,2024FA,WD-2024FA-HSSP-112B,HSSP,112,3,Graded,F,0.26
S000005,2024FA,WD-2024FA-ECON-143C,ECON,143,4,Graded,F,0.0
S000006,2024FA,WD-2024FA-BUS-160A,BUS,160,3,Graded,A-,3.81
S000006,2024FA,WD-2024FA-BIOL-199D,BIOL,199,4,Graded,A,3.96
S000006,2024FA,WD-2024FA-NEUR-160D,NEUR,160,3,Graded,A-,3.63
S000006,2024FA,WD-2024FA-PSYC-197B,PSYC,197,3,Graded,A,3.89
S000006,2024FA,WD-2024FA-POL-107C,POL,107,3,Graded,A-,3.81
S000007,2024FA,WD-2024FA-POL-181A,POL,181,3,Graded,B+,3.35
S000007,2024FA,WD-2024FA-MATH-198B,MATH,198,3,Graded,B,3.03
S000007,2024FA,WD-2024FA-PSYC-124B,PSYC,124,3,Graded,B,3.0
S000007,2024FA,WD-2024FA-ECON-135A,ECON,135,3,Graded,B,3.14
S000007,2024FA,WD-2024FA-ECON-114C,ECON,114,3,Graded,B,3.15
S000008,2024FA,WD-2024FA-ECON-125A,ECON,125,4,Graded,B-,2.51
S000008,2024FA,WD-2024FA-CHEM-168A,CHEM,168,4,Graded,B-,2.67
S000008,2024FA,WD-2024FA-NEUR-182B,NEUR,182,3,Graded,B-,2.53
S000009,2024FA,WD-2024FA-BUS-129B,BUS,129,3,Graded,B+,3.49
S000009,2024FA,WD-2024FA-PSYC-194C,PSYC,194,3,Graded,B+,3.29
S000009,2024FA,WD-2024FA-MATH-101D,MATH,101,3,Graded,B+,3.46
S000011,2024FA,WD-2024FA-PSYC-108C,PSYC,108,3,Graded,A,3.91
S000011,2024FA,WD-2024FA-HIST-194D,HIST,194,4,Graded,A-,3.82
S000011,2024FA,WD-2024FA-COSI-155A,COSI,155,3,Graded,A-,3.72
S000011,2024FA,WD-2024FA-ECON-169C,ECON,169,3,Graded,A-,3.55
S000011,2024FA,WD-2024FA-ANTH-175B,ANTH,175,3,Graded,A-,3.75
S000013,2024FA,WD-2024FA-MATH-138C,MATH,138,3,Graded,B+,3.28
S000013,2024FA,WD-2024FA-ENVS-137D,ENVS,137,4,Graded,B+,3.38
S000015,2024FA,WD-2024FA-HIST-139B,HIST,139,3,Graded,A-,3.84
S000015,2024FA,WD-2024FA-ENVS-186D,ENVS,186,3,Graded,A-,3.78
S000015,2024FA,WD-2024FA-HIST-184D,HIST,184,3,Graded,A,3.93
S000015,2024FA,WD-2024FA-CHEM-117D,CHEM,117,3,Graded,A,4.0
S000015,2024FA,WD-2024FA-ECON-124C,ECON,124,4,Graded,A,3.92
S000016,2024FA,WD-2024FA-ECON-169D,ECON,169,3,Graded,C+,2.47
S000016,2024FA,WD-2024FA-PSYC-198A,PSYC,198,4,Graded,C+,2.39
S000016,2024FA,WD-2024FA-ENG-165A,ENG,165,4,Graded,B-,2.6
S000016,2024FA,WD-2024FA-PSYC-188C,PSYC,188,3,Graded,B-,2.58
S000017,2024FA,WD-2024FA-ENVS-192C,ENVS,192,3,Graded,A,3.97
S000017,2024FA,WD-2024FA-COSI-147D,COSI,147,3,Graded,A,3.97
S000017,2024FA,WD-2024FA-MATH-125C,MATH,125,3,Graded,A,4.0
S000017,2024FA,WD-2024FA-NEUR-141B,NEUR,141,3,Graded,A,4.0
S000017,2024FA,WD-2024FA-HSSP-154D,HSSP,154,3,Graded,A,3.87
S000020,2024FA,WD-2024FA-ENG-177C,ENG,177,4,Graded,A,3.87
S000020,2024FA,WD-2024FA-BIOL-137A,BIOL,137,3,Graded,A,3.9
S000020,2024FA,WD-2024FA-COSI-110A,COSI,110,3,Graded,A-,3.79
S000020,2024FA,WD-2024FA-POL-164D,POL,164,3,Graded,A,3.87
S000020,2024FA,WD-2024FA-POL-122C,POL,122,3,Graded,A,3.89
S000022,2024FA,WD-2024FA-ECON-110A,ECON,110,3,Graded,A-,3.79
S000022,2024FA,WD-2024FA-CHEM-124D,CHEM,124,4,Graded,A-,3.72
S000022,2024FA,WD-2024FA-POL-124A,POL,124,3,Graded,A,4.0
S000022,2024FA,WD-2024FA-MATH-194B,MATH,194,3,Graded,A-,3.84
S000023,2024FA,WD-2024FA-BIOL-145B,BIOL,145,3,Graded,B,3.08
S000023,2024FA,WD-2024FA-MATH-107D,MATH,107,3,Graded,B+,3.27
S000023,2024FA,WD-2024FA-BIOL-164B,BIOL,164,3,Graded,B+,3.46
S000023,2024FA,WD-2024FA-HSSP-149A,HSSP,149,3,Graded,B,3.16
S000023,2024FA,WD-2024FA-PSYC-161C,PSYC,161,3,Graded,B+,3.22
S000024,2024FA,WD-2024FA-BUS-136C,BUS,136,3,Graded,B+,3.47
S000024,2024FA,WD-2024FA-HSSP-149D,HSSP,149,3,Graded,A-,3.74
S000024,2024FA,WD-2024FA-POL-105A,POL,105,3,Graded,A-,3.56
S000024,2024FA,WD-2024FA-HIST-125A,HIST,125,3,Graded,A-,3.54
S000024,2024FA,WD-2024FA-AMST-129A,AMST,129,3,Graded,A-,3.52
S000025,2024FA,WD-2024FA-PSYC-151C,PSYC,151,3,Graded,B+,3.42
S000025,2024FA,WD-2024FA-HIST-141D,HIST,141,3,Graded,A-,3.67
S000025,2024FA,WD-2024FA-HSSP-141A,HSSP,141,3,Graded,A-,3.77
S000025,2024FA,WD-2024FA-COSI-178D,COSI,178,3,Graded,A-,3.64
S000026,2024FA,WD-2024FA-BIOL-105B,BIOL,105,3,Graded,B-,2.78
S000026,2024FA,WD-2024FA-HSSP-144A,HSSP,144,3,Graded,B-,2.52
S000026,2024FA,WD-2024FA-ANTH-107C,ANTH,107,3,Graded,B-,2.64
S000026,2024FA,WD-2024FA-ENVS-148A,ENVS,148,3,Graded,B-,2.65
S000026,2024FA,WD-2024FA-PSYC-100D,PSYC,100,3,Graded,B-,2.81
S000028,2024FA,WD-2024FA-AMST-152D,AMST,152,3,Graded,F,0.42
S000028,2024FA,WD-2024FA-BUS-165B,BUS,165,3,Graded,F,0.21
S000028,2024FA,WD-2024FA-MATH-108B,MATH,108,3,Graded,F,0.39
S000028,2024FA,WD-2024FA-NEUR-116A,NEUR,116,3,Graded,F,0.36
S000029,2024FA,WD-2024FA-ENVS-150C,ENVS,150,3,Graded,B+,3.26
S000029,2024FA,WD-2024FA-BIOL-127D,BIOL,127,3,Graded,B+,3.38
S000029,2024FA,WD-2024FA-COSI-184D,COSI,184,4,Graded,B+,3.37
S000029,2024FA,WD-2024FA-HSSP-129D,HSSP,129,3,Graded,B+,3.38
S000029,2024FA,WD-2024FA-ENVS-193B,ENVS,193,3,Graded,B+,3.42
S000032,2024FA,WD-2024FA-ENVS-109B,ENVS,109,4,Graded,B+,3.4
S000032,2024FA,WD-2024FA-ECON-111D,ECON,111,4,Graded,A-,3.55
S000032,2024FA,WD-2024FA-POL-105B,POL,105,3,Graded,A-,3.51
S000032,2024FA,WD-2024FA-PSYC-155B,PSYC,155,3,Graded,A-,3.58
S000032,2024FA,WD-2024FA-HIST-141B,HIST,141,3,Graded,B+,3.37
S000033,2024FA,WD-2024FA-ENG-112D,ENG,112,3,Graded,B,3.06
S000034,2024FA,WD-2024FA-BIOL-112A,BIOL,112,3,Graded,B+,3.34
S000034,2024FA,WD-2024FA-PHIL-111C,PHIL,111,3,Graded,B+,3.49
S000034,2024FA,WD-2024FA-NEUR-114C,NEUR,114,4,Graded,B+,3.33
S000034,2024FA,WD-2024FA-HSSP-115C,HSSP,115,3,Graded,B+,3.31
S000036,2024FA,WD-2024FA-HSSP-160B,HSSP,160,3,Graded,D,1.22
S000036,2024FA,WD-2024FA-CHEM-195A,CHEM,195,3,Graded,D,1.08
S000036,2024FA,WD-2024FA-COSI-102D,COSI,102,3,Graded,C-,1.57
S000036,2024FA,WD-2024FA-BIOL-146A,BIOL,146,3,Graded,D,1.27
S000036,2024FA,WD-2024FA-BIOL-136D,BIOL,136,3,Graded,F,0.99
S000037,2024FA,WD-2024FA-HSSP-169B,HSSP,169,3,Graded,B,2.89
S000037,2024FA,WD-2024FA-ANTH-131C,ANTH,131,3,Graded,B-,2.78
S000037,2024FA,WD-2024FA-AMST-198C,AMST,198,3,Graded,B,2.9
S000037,2024FA,WD-2024FA-ENVS-158B,ENVS,158,3,Graded,B-,2.76
S000039,2024FA,WD-2024FA-ENG-157B,ENG,157,3,Graded,B,2.92
S000039,2024FA,WD-2024FA-PHIL-119B,PHIL,119,4,Graded,B-,2.79
S000039,2024FA,WD-2024FA-ENG-101A,ENG,101,3,Graded,B,2.9
S000039,2024FA,WD-2024FA-ENG-157B,ENG,157,3,Graded,B,2.87
S000039,2024FA,WD-2024FA-ENG-167A,ENG,167,3,Graded,B,2.92
S000041,2024FA,WD-2024FA-ENG-140D,ENG,140,3,Graded,D,1.3
S000041,2024FA,WD-2024FA-HSSP-176D,HSSP,176,3,Graded,D,1.46
S000041,2024FA,WD-2024FA-HSSP-164B,HSSP,164,3,Graded,D,1.39
S000041,2024FA,WD-2024FA-ECON-100D,ECON,100,3,Graded,C-,1.61
S000041,2024FA,WD-2024FA-MATH-134B,MATH,134,3,Graded,D,1.4
S000043,2024FA,WD-2024FA-AMST-185A,AMST,185,3,Graded,B+,3.42
S000043,2024FA,WD-2024FA-COSI-106C,COSI,106,3,Graded,B+,3.47
S000043,2024FA,WD-2024FA-AMST-105D,AMST,105,3,Graded,A-,3.67
S000043,2024FA,WD-2024FA-PSYC-136D,PSYC,136,3,Graded,B+,3.3
S000043,2024FA,WD-2024FA-BUS-127D,BUS,127,4,Graded,B+,3.47
S000044,2024FA,WD-2024FA-PHIL-150B,PHIL,150,3,Graded,F,0.48
S000045,2024FA,WD-2024FA-PHIL-135B,PHIL,135,3,Graded,B+,3.49
S000045,2024FA,WD-2024FA-ENG-152B,ENG,152,3,Graded,A-,3.68
S000045,2024FA,WD-2024FA-AMST-130B,AMST,130,3,Graded,B+,3.47
S000045,2024FA,WD-2024FA-MATH-167B,MATH,167,3,Graded,A-,3.66
S000045,2024FA,WD-2024FA-HSSP-134B,HSSP,134,4,Graded,B+,3.48
S000046,2024FA,WD-2024FA-BIOL-173C,BIOL,173,3,Graded,A,3.85
S000046,2024FA,WD-2024FA-ENVS-119C,ENVS,119,3,Graded,A-,3.82
S000046,2024FA,WD-2024FA-ENG-193C,ENG,193,3,Graded,A-,3.73
S000046,2024FA,WD-2024FA-PHIL-104A,PHIL,104,3,Graded,A,3.91
S000046,2024FA,WD-2024FA-COSI-156B,COSI,156,4,Graded,A,3.92
S000047,2024FA,WD-2024FA-ECON-114A,ECON,114,3,Graded,B-,2.68
S000047,2024FA,WD-2024FA-HIST-130A,HIST,130,4,Graded,B-,2.63
S000047,2024FA,WD-2024FA-HSSP-157D,HSSP,157,3,Graded,B-,2.6
S000047,2024FA,WD-2024FA-POL-106D,POL,106,3,Graded,B-,2.55
S000047,2024FA,WD-2024FA-AMST-186A,AMST,186,3,Graded,B-,2.65
S000048,2024FA,WD-2024FA-MATH-151A,MATH,151,3,Graded,B+,3.33
S000048,2024FA,WD-2024FA-ANTH-175D,ANTH,175,3,Graded,B+,3.36
