student_id,term_code,class_level,major,credits_attempted,credits_earned,term_gpa,cumulative_gpa,cumulative_credits,enrollment_status,registration_system
S000001,2024FA,Senior,Physics,15,14,2.76,3.07,123,enrolled,Workday
S000002,2024FA,Junior,English,3,3,2.73,3.53,63,enrolled,Workday
S000004,2024FA,Junior,Mathematics,12,11,2.37,2.5,70,enrolled,Workday
S000005,2024FA,Junior,Economics,15,11,0.1,0.17,60,enrolled,Workday
S000006,2024FA,Senior,Economics,18,18,3.73,3.2,109,enrolled,Workday
S000007,2024FA,Senior,Psychology,17,16,3.17,3.1,151,enrolled,Workday
S000008,2024FA,Junior,Computer Science,12,11,2.58,3.17,69,enrolled,Workday
S000009,2024FA,Junior,Biochemistry,11,11,3.55,3.58,62,enrolled,Workday
S000011,2024FA,Senior,Neuroscience,18,18,3.69,3.51,157,enrolled,Workday
S000013,2024FA,Senior,International and Global Studies,9,9,3.49,3.37,155,enrolled,Workday
S000015,2024FA,Senior,Economics,17,17,3.75,3.54,107,enrolled,Workday
S000016,2024FA,Senior,Music,14,13,2.56,3.09,161,enrolled,Workday
S000017,2024FA,Junior,Neuroscience,16,16,3.94,3.96,76,enrolled,Workday
S000018,2024FA,Sophomore,Computer Science,,,,2.18,52,not_enrolled,Workday
S000020,2024FA,Sophomore,Neuroscience,16,16,3.82,3.76,51,enrolled,Workday
S000022,2024FA,Sophomore,Economics,13,13,3.8,3.48,56,enrolled,Workday
S000023,2024FA,Sophomore,Biochemistry,15,14,3.23,3.39,38,enrolled,Workday
S000024,2024FA,Senior,International and Global Studies,15,15,3.55,3.76,104,enrolled,Workday
S000025,2024FA,Freshman,Philosophy,13,13,3.62,3.72,26,enrolled,Workday
S000026,2024FA,Senior,Computer Science,15,14,2.65,2.67,134,enrolled,Workday
S000027,2024FA,Junior,Applied Mathematics,,,,3.74,64,not_enrolled,Workday
S000028,2024FA,Sophomore,Economics,13,10,0.47,0.99,48,enrolled,Workday
S000029,2024FA,Junior,Biochemistry,17,16,3.32,2.87,61,enrolled,Workday
S000032,2024FA,Senior,International and Global Studies,17,17,3.4,3.62,162,enrolled,Workday
S000033,2024FA,Junior,American Studies,5,5,3.31,3.19,69,enrolled,Workday
S000034,2024FA,Sophomore,Psychology,15,15,3.46,3.39,50,enrolled,Workday
S000036,2024FA,Sophomore,Applied Mathematics,15,12,1.17,1.1,38,enrolled,Workday
S000037,2024FA,Senior,Biology,13,12,2.87,3.01,105,enrolled,Workday
S000039,2024FA,Senior,Neuroscience,16,15,2.76,3.33,102,enrolled,Workday
S000040,2024FA,Junior,Music,,,,3.26,87,not_enrolled,Workday
S000041,2024FA,Junior,"Health: Science, Society, and Policy",15,12,1.4,1.41,83,enrolled,Workday
S000042,2024FA,Sophomore,Psychology,,,,3.25,31,not_enrolled,Workday
S000043,2024FA,Junior,Neuroscience,16,16,3.48,3.51,60,enrolled,Workday
S000044,2024FA,Sophomore,Biochemistry,3,2,0.61,0.9,31,enrolled,Workday
S000045,2024FA,Junior,International and Global Studies,17,17,3.54,3.65,63,enrolled,Workday
S000046,2024FA,Sophomore,Psychology,18,18,3.74,3.46,59,enrolled,Workday
S000047,2024FA,Freshman,Computer Science,16,15,2.68,2.66,20,enrolled,Workday
S000048,2024FA,Senior,Neuroscience,14,14,3.46,3.09,129,enrolled,Workday
S000049,2024FA,Junior,Biology,15,14,3.0,3.07,77,enrolled,Workday
S000050,2024FA,Senior,Economics,17,17,4.0,3.94,92,enrolled,Workday
S000051,2024FA,Junior,American Studies,16,16,3.46,3.09,66,enrolled,Workday
S000052,2024FA,Senior,Psychology,17,16,2.91,3.14,104,enrolled,Workday
S000053,2024FA,Senior,Economics,17,17,3.66,3.45,152,enrolled,Workday
S000054,2024FA,Sophomore,Biology,14,13,2.96,3.19,56,enrolled,Workday
