student_id,term_code,workday_course_section_id,subject,catalog_number,credits,grading_basis,letter_grade,grade_points
S000001,2024SU,WD-2024SU-ANTH-119A,ANTH,119,3,Graded,B-,2.76
S000001,2024SU,WD-2024SU-HIST-115B,HIST,115,3,Graded,B-,2.75
S000001,2024SU,WD-2024SU-HSSP-142D,HSSP,142,3,Graded,B-,2.75
S000001,2024SU,WD-2024SU-PSYC-108C,PSYC,108,3,Graded,B-,2.72
S000001,2024SU,WD-2024SU-ANTH-175B,ANTH,175,4,Graded,B-,2.83
S000002,2024SU,WD-2024SU-BIOL-102A,BIOL,102,3,Graded,A-,3.6
S000002,2024SU,WD-2024SU-HSSP-174C,HSSP,174,3,Graded,A-,3.63
S000002,2024SU,WD-2024SU-BIOL-187A,BIOL,187,3,Graded,A,4.0
S000002,2024SU,WD-2024SU-BIOL-194A,BIOL,194,3,Graded,A-,3.55
S000002,2024SU,WD-2024SU-CHEM-106C,CHEM,106,3,Graded,A,3.98
S000004,2024SU,WD-2024SU-POL-154D,POL,154,3,Graded,B-,2.6
S000004,2024SU,WD-2024SU-BUS-104B,BUS,104,3,Graded,C+,2.49
S000004,2024SU,WD-2024SU-ENVS-190A,ENVS,190,3,Graded,C+,2.38
S000004,2024SU,WD-2024SU-POL-149B,POL,149,4,Graded,C+,2.32
S000005,2024SU,WD-2024SU-HSSP-193A,HSSP,193,3,Graded,F,0.14
S000005,2024SU,WD-2024SU-BIOL-122C,BIOL,122,3,Graded,F,0.29
S000005,2024SU,WD-2024SU-POL-184A,POL,184,3,Graded,F,0.35
S000006,2024SU,WD-2024SU-BUS-179C,BUS,179,3,Graded,B,2.98
S000007,2024SU,WD-2024SU-ECON-181C,ECON,181,3,Graded,B-,2.74
S000008,2024SU,WD-2024SU-COSI-199C,COSI,199,3,Graded,B+,3.3
S000008,2024SU,WD-2024SU-ECON-120A,ECON,120,3,Graded,B+,3.21
S000008,2024SU,WD-2024SU-BUS-150C,BUS,150,3,Graded,B,3.18
S000008,2024SU,WD-2024SU-HIST-126C,HIST,126,3,Graded,B,3.16
S000008,2024SU,WD-2024SU-COSI-123A,COSI,123,3,Graded,B+,3.23
S000008,2024SU,WD-2024SU-ENG-157D,ENG,157,3,Graded,B,3.16
S000009,2024SU,WD-2024SU-COSI-104C,COSI,104,3,Graded,B,2.96
S000011,2024SU,WD-2024SU-POL-167C,POL,167,3,Graded,B+,3.39
S000013,2024SU,WD-2024SU-POL-171D,POL,171,3,Graded,B+,3.31
S000013,2024SU,WD-2024SU-BUS-181C,BUS,181,3,Graded,A-,3.5
S000013,2024SU,WD-2024SU-ANTH-155D,ANTH,155,3,Graded,B+,3.41
S000015,2024SU,WD-2024SU-ANTH-175C,ANTH,175,3,Graded,B+,3.28
S000015,2024SU,WD-2024SU-PHIL-175C,PHIL,175,3,Graded,B+,3.3
S000016,2024SU,WD-2024SU-BIOL-194A,BIOL,194,3,Graded,B,3.1
S000016,2024SU,WD-2024SU-PHIL-184D,PHIL,184,3,Graded,B+,3.33
S000016,2024SU,WD-2024SU-ENVS-123B,ENVS,123,3,Graded,B,3.15
S000016,2024SU,WD-2024SU-CHEM-138D,CHEM,138,4,Graded,B+,3.37
S000016,2024SU,WD-2024SU-AMST-164D,AMST,164,3,Graded,B+,3.34
S000017,2024SU,WD-2024SU-NEUR-179C,NEUR,179,3,Graded,A,4.0
S000017,2024SU,WD-2024SU-CHEM-181D,CHEM,181,3,Graded,A,3.98
S000018,2024SU,WD-2024SU-ANTH-161A,ANTH,161,3,Graded,B-,2.6
S000018,2024SU,WD-2024SU-BUS-103A,BUS,103,4,Graded,B,2.93
S000018,2024SU,WD-2024SU-AMST-178B,AMST,178,3,Graded,B-,2.74
S000018,2024SU,WD-2024SU-PSYC-112A,PSYC,112,3,Graded,B-,2.78
S000019,2024SU,WD-2024SU-HIST-185A,HIST,185,3,Graded,B,2.97
S000019,2024SU,WD-2024SU-ECON-192B,ECON,192,3,Graded,B,2.94
S000019,2024SU,WD-2024SU-NEUR-125B,NEUR,125,4,Graded,B,2.93
S000019,2024SU,WD-2024SU-HSSP-160D,HSSP,160,3,Graded,B-,2.74
S000019,2024SU,WD-2024SU-BIOL-175C,BIOL,175,3,Graded,B-,2.77
S000020,2024SU,WD-2024SU-MATH-196A,MATH,196,3,Graded,A-,3.78
S000020,2024SU,WD-2024SU-POL-128D,POL,128,3,Graded,A,3.92
S000020,2024SU,WD-2024SU-ENVS-195B,ENVS,195,4,Graded,A-,3.74
S000020,2024SU,WD-2024SU-CHEM-127D,CHEM,127,3,Graded,A,3.87
S000022,2024SU,WD-2024SU-ENG-142B,ENG,142,3,Graded,A-,3.54
S000022,2024SU,WD-2024SU-ENVS-152C,ENVS,152,3,Graded,B,3.17
S000022,2024SU,WD-2024SU-AMST-132D,AMST,132,3,Graded,B+,3.41
S000022,2024SU,WD-2024SU-ANTH-166C,ANTH,166,3,Graded,B+,3.4
S000022,2024SU,WD-2024SU-AMST-171A,AMST,171,3,Graded,B+,3.43
S000023,2024SU,WD-2024SU-ECON-180B,ECON,180,3,Graded,A-,3.78
S000023,2024SU,WD-2024SU-POL-179B,POL,179,4,Graded,A-,3.69
S000023,2024SU,WD-2024SU-MATH-100A,MATH,100,3,Graded,A-,3.52
S000023,2024SU,WD-2024SU-ANTH-135C,ANTH,135,4,Graded,B+,3.49
S000026,2024SU,WD-2024SU-COSI-124A,COSI,124,3,Graded,B,2.96
S000026,2024SU,WD-2024SU-PHIL-178D,PHIL,178,3,Graded,B,3.01
S000026,2024SU,WD-2024SU-POL-186A,POL,186,3,Graded,B,2.85
S000026,2024SU,WD-2024SU-BUS-136A,BUS,136,3,Graded,B-,2.52
S000026,2024SU,WD-2024SU-ENVS-157D,ENVS,157,3,Graded,B-,2.81
S000027,2024SU,WD-2024SU-HIST-144C,HIST,144,3,Graded,A-,3.71
S000027,2024SU,WD-2024SU-MATH-119D,MATH,119,3,Graded,A-,3.52
S000027,2024SU,WD-2024SU-BUS-107C,BUS,107,3,Graded,A-,3.61
S000027,2024SU,WD-2024SU-ECON-147B,ECON,147,3,Graded,A-,3.76
S000027,2024SU,WD-2024SU-MATH-110A,MATH,110,3,Graded,A,3.95
S000027,2024SU,WD-2024SU-NEUR-161D,NEUR,161,3,Graded,A-,3.71
S000028,2024SU,WD-2024SU-CHEM-191A,CHEM,191,4,Graded,F,0.86
S000028,2024SU,WD-2024SU-BIOL-158D,BIOL,158,3,Graded,F,0.88
S000028,2024SU,WD-2024SU-BIOL-143D,BIOL,143,4,Graded,F,0.91
S000032,2024SU,WD-2024SU-ECON-175A,ECON,175,3,Graded,A,3.87
S000032,2024SU,WD-2024SU-ENG-106A,ENG,106,4,Graded,A,3.9
S000032,2024SU,WD-2024SU-ANTH-197A,ANTH,197,3,Graded,A-,3.7
S000032,2024SU,WD-2024SU-HIST-121D,HIST,121,4,Graded,A-,3.83
S000032,2024SU,WD-2024SU-ECON-183C,ECON,183,3,Graded,A-,3.6
S000033,2024SU,WD-2024SU-PHIL-123C,PHIL,123,4,Graded,B,3.11
S000033,2024SU,WD-2024SU-BIOL-196A,BIOL,196,3,Graded,B+,3.25
S000033,2024SU,WD-2024SU-PHIL-116D,PHIL,116,3,Graded,B+,3.2
S000033,2024SU,WD-2024SU-PSYC-100B,PSYC,100,3,Graded,B,3.18
S000033,2024SU,WD-2024SU-POL-129A,POL,129,3,Graded,B+,3.22
S000037,2024SU,WD-2024SU-BIOL-103B,BIOL,103,3,Graded,C+,2.42
S000037,2024SU,WD-2024SU-HSSP-114A,HSSP,114,3,Graded,C+,2.34
S000037,2024SU,WD-2024SU-ECON-156D,ECON,156,3,Graded,B-,2.6
S000037,2024SU,WD-2024SU-PHIL-190B,PHIL,190,3,Graded,C+,2.32
S000037,2024SU,WD-2024SU-PHIL-119A,PHIL,119,3,Graded,C,2.14
S000039,2024SU,WD-2024SU-ECON-189A,ECON,189,4,Graded,B+,3.38
S000039,2024SU,WD-2024SU-BUS-189B,BUS,189,3,Graded,B+,3.43
