workday_person_id,term_code,fafsa_received,pell_amount,institutional_grant,loans,balance_due
WD55962545,2025SP,true,0,685,4396,2022
WD26521485,2025SP,true,1603,4921,3303,-2491
WD11094884,2025SP,true,1609,5868,3798,314
WD46412594,2025SP,true,429,4127,66,3982
WD82749406,2025SP,true,1266,3142,6340,4871
WD02239789,2025SP,false,0,2,0,-1780
WD22044066,2025SP,true,0,5506,0,5605
WD04536524,2025SP,true,0,1652,0,7140
WD55714946,2025SP,true,0,2854,0,8964
WD05737140,2025SP,true,0,725,0,-1045
WD79076463,2025SP,true,683,5657,0,2892
WD81987287,2025SP,true,1119,2122,4846,7334
WD22990120,2025SP,true,3120,6782,0,4977
WD44723914,2025SP,true,1476,5297,1620,5969
WD06529944,2025SP,true,0,5059,0,825
WD25667078,2025SP,false,0,547,0,-1137
WD73134034,2025SP,true,147,2136,0,630
WD84804298,2025SP,true,0,708,0,8857
WD74891935,2025SP,false,0,2245,0,6993
WD73807848,2025SP,false,0,400,0,1022
WD41819599,2025SP,true,1192,5004,0,4602
WD58456803,2025SP,true,0,4890,0,1302
WD94402674,2025SP,true,0,167,1447,-388
WD09148706,2025SP,true,1770,255,0,3457
WD31949692,2025SP,true,0,4918,7957,-1893
WD92293433,2025SP,false,0,1317,0,-462
WD26181348,2025SP,false,0,2232,0,-2383
WD60315081,2025SP,false,0,767,0,900
WD94565013,2025SP,false,0,797,0,7683
WD38610489,2025SP,false,0,1695,0,89
WD43496096,2025SP,true,0,5676,2036,8085
WD77677471,2025SP,true,2216,5015,0,-1147
WD00696025,2025SP,true,0,5656,0,-678
WD98526908,2025SP,true,1239,381,0,3934
WD09551657,2025SP,true,0,5959,4341,4483
WD17309834,2025SP,true,0,4567,0,4761
WD56942596,2025SP,true,972,3254,0,3990
WD24881238,2025SP,false,0,60,0,175
WD31521015,2025SP,false,0,1958,0,1937
WD72781579,2025SP,false,0,932,0,2538
WD22487957,2025SP,true,0,6223,7411,863
WD18668019,2025SP,true,0,3266,0,4050
WD30772550,2025SP,true,0,450,8197,8386
WD60219093,2025SP,true,0,4536,7710,1579
WD02040744,2025SP,false,0,1718,0,3027
WD02052926,2025SP,true,0,3672,0,-529
WD80334007,2025SP,false,0,2057,0,2917
WD78339462,2025SP,true,1066,567,3094,-1829
WD37343286,2025SP,true,0,1061,1860,3546
WD50854752,2025SP,false,0,206,0,6350
WD74434483,2025SP,true,2624,6183,5234,-1943
WD50999572,2025SP,true,0,3375,865,8115
WD12520005,2025SP,true,0,3276,0,-1905
WD55690240,2025SP,true,0,283,6339,-1763
WD94945836,2025SP,false,0,806,0,-881
WD45359454,2025SP,false,0,2339,0,6536
WD05336266,2025SP,true,0,5049,5480,165
WD52855666,2025SP,true,0,3591,1738,-1002
WD11750602,2025SP,true,153,2738,0,-630
WD34245540,2025SP,true,0,4162,4899,1450
WD54788745,2025SP,true,0,6997,1316,1436
WD32976864,2025SP,false,0,2223,0,2896
WD51858431,2025SP,true,2247,6394,0,2570
WD07139880,2025SP,true,1552,4940,0,1449
WD20823654,2025SP,true,338,559,4500,-789
WD28929174,2025SP,true,0,3040,0,2413
WD26144187,2025SP,false,0,799,0,5862
WD30638658,2025SP,true,2597,4742,6329,7062
WD06676742,2025SP,true,32,215,0,3316
WD82441560,2025SP,true,0,6563,0,8765
WD85829726,2025SP,true,3278,1617,0,-1366
WD10611405,2025SP,false,0,2312,0,2145
WD33270609,2025SP,true,355,786,0,-1756
WD04166709,2025SP,true,1451,399,0,8913
WD80852668,2025SP,true,0,4248,0,1463
WD94290766,2025SP,false,0,691,0,63
WD17624337,2025SP,false,0,1946,0,-1546
WD38829230,2025SP,false,0,744,0,2056
WD01162996,2025SP,true,0,3472,0,5529
WD34934756,2025SP,true,0,3096,0,7172
WD21977336,2025SP,false,0,1493,0,1288
WD60853396,2025SP,true,0,343,2483,2025
WD71931233,2025SP,true,0,1783,0,-1714
WD92457375,2025SP,true,0,2402,0,3936
WD46171172,2025SP,true,0,1375,375,1845
WD64591076,2025SP,true,2090,4307,0,4132
WD22851374,2025SP,false,0,496,0,-2229
WD57344834,2025SP,true,3146,6938,1425,3774
