moodle_user_key,term_code,course_shells,login_count,page_views,assignments_submitted,forum_posts,quiz_attempts,last_activity_date,lms_platform
mdl_s000004,2025SP,4,82,175,56,23,20,2025-04-14,Moodle
mdl_s000005,2025SP,4,137,494,41,14,11,2025-04-11,Moodle
mdl_s000479,2025SP,5,104,3705,41,12,0,2025-04-09,Moodle
mdl_s000008,2025SP,5,65,1239,40,17,11,2025-04-21,Moodle
mdl_s000009,2025SP,3,51,1132,9,13,0,2025-04-16,Moodle
mdl_s000010,2025SP,3,38,2313,1,15,25,2025-04-20,Moodle
mdl_s000011,2025SP,4,31,1074,22,18,7,2025-04-19,Moodle
mdl_s000013,2025SP,5,87,2896,30,30,8,2025-04-22,Moodle
mdl_s000015,2025SP,6,70,1220,10,22,0,2025-04-11,Moodle
mdl_s000016,2025SP,3,29,1975,57,33,12,2025-04-07,Moodle
mdl_s000017,2025SP,3,138,3465,11,19,1,2025-04-25,Moodle
mdl_s000018,2025SP,5,9,533,24,9,13,2025-04-22,Moodle
mdl_s000022,2025SP,4,74,2001,65,13,13,2025-04-03,Moodle
mdl_s000023,2025SP,5,109,2208,53,6,25,2025-04-19,Moodle
mdl_s000024,2025SP,3,24,1993,1,9,5,2025-04-13,Moodle
mdl_s000025,2025SP,3,115,2506,31,19,16,2025-04-14,Moodle
mdl_s000027,2025SP,5,77,212,32,34,18,2025-04-05,Moodle
mdl_s000028,2025SP,4,85,2501,58,29,6,2025-04-18,Moodle
mdl_s000029,2025SP,4,55,2814,38,19,10,2025-04-09,Moodle
mdl_s000033,2025SP,5,138,562,33,29,11,2025-04-21,Moodle
mdl_s000034,2025SP,6,108,1259,61,10,10,2025-04-01,Moodle
mdl_s000036,2025SP,6,45,3217,59,28,14,2025-04-13,Moodle
mdl_s000037,2025SP,5,42,1300,36,9,17,2025-04-11,Moodle
mdl_s000039,2025SP,5,116,3289,22,16,15,2025-04-27,Moodle
mdl_s000042,2025SP,5,65,525,50,7,13,2025-04-02,Moodle
mdl_s000043,2025SP,4,84,3264,63,20,4,2025-04-03,Moodle
mdl_s000044,2025SP,3,114,887,26,4,7,2025-04-12,Moodle
mdl_s000045,2025SP,3,66,103,4,2,16,2025-04-23,Moodle
mdl_s000046,2025SP,5,85,2574,35,29,17,2025-04-19,Moodle
mdl_s000047,2025SP,3,62,573,54,11,11,2025-04-08,Moodle
mdl_s000048,2025SP,6,133,4018,29,18,20,2025-04-02,Moodle
mdl_s000049,2025SP,4,65,265,47,4,17,2025-04-09,Moodle
mdl_s000050,2025SP,3,86,3129,23,27,15,2025-04-26,Moodle
mdl_s000051,2025SP,5,121,221,22,0,22,2025-04-14,Moodle
