student_id,term_code,workday_course_section_id,subject,catalog_number,credits,grading_basis,letter_grade,grade_points
S000003,2025SP,WD-2025SP-ECON-199B,ECON,199,3,Graded,B,3.18
S000003,2025SP,WD-2025SP-ENG-186C,ENG,186,4,Graded,B,3.09
S000003,2025SP,WD-2025SP-PHIL-150B,PHIL,150,3,Graded,B+,3.29
S000003,2025SP,WD-2025SP-POL-158C,POL,158,3,Graded,B,2.98
S000003,2025SP,WD-2025SP-ANTH-115B,ANTH,115,3,Graded,B,2.93
S000004,2025SP,WD-2025SP-COSI-142C,COSI,142,3,Graded,B-,2.56
S000004,2025SP,WD-2025SP-ENVS-181D,ENVS,181,3,Graded,B-,2.6
S000004,2025SP,WD-2025SP-HIST-193A,HIST,193,3,Graded,B-,2.74
S000004,2025SP,WD-2025SP-POL-185A,POL,185,3,Graded,B-,2.69
S000004,2025SP,WD-2025SP-BIOL-166D,BIOL,166,3,Graded,B-,2.52
S000005,2025SP,WD-2025SP-ECON-179A,ECON,179,3,Graded,F,0.18
S000005,2025SP,WD-2025SP-BIOL-150B,BIOL,150,3,Graded,F,0.0
S000005,2025SP,WD-2025SP-PSYC-105D,PSYC,105,3,Graded,F,0.1
S000005,2025SP,WD-2025SP-BIOL-178D,BIOL,178,3,Graded,F,0.01
S000005,2025SP,WD-2025SP-PHIL-143A,PHIL,143,3,Graded,F,0.0
S000006,2025SP,WD-2025SP-COSI-189C,COSI,189,3,Graded,B+,3.21
S000007,2025SP,WD-2025SP-BIOL-139C,BIOL,139,3,Graded,A-,3.5
S000007,2025SP,WD-2025SP-ENG-156C,ENG,156,3,Graded,B+,3.3
S000007,2025SP,WD-2025SP-COSI-169C,COSI,169,4,Graded,B+,3.41
S000008,2025SP,WD-2025SP-HIST-168C,HIST,168,3,Graded,B,3.16
S000008,2025SP,WD-2025SP-NEUR-126B,NEUR,126,3,Graded,B+,3.29
S000008,2025SP,WD-2025SP-POL-166C,POL,166,3,Graded,B+,3.2
S000008,2025SP,WD-2025SP-PSYC-132B,PSYC,132,3,Graded,B,3.13
S000008,2025SP,WD-2025SP-ANTH-113D,ANTH,113,4,Graded,B+,3.3
S000009,2025SP,WD-2025SP-PHIL-153C,PHIL,153,4,Graded,A-,3.6
S000009,2025SP,WD-2025SP-PSYC-104B,PSYC,104,3,Graded,B+,3.27
S000009,2025SP,WD-2025SP-PHIL-192B,PHIL,192,3,Graded,B+,3.47
S000009,2025SP,WD-2025SP-ENG-189B,ENG,189,3,Graded,B+,3.4
S000009,2025SP,WD-2025SP-PSYC-144D,PSYC,144,3,Graded,B+,3.45
S000010,2025SP,WD-2025SP-PSYC-116B,PSYC,116,3,Graded,A-,3.56
S000010,2025SP,WD-2025SP-HIST-133C,HIST,133,4,Graded,B+,3.45
