student_id,term_code,class_level,major,credits_attempted,credits_earned,term_gpa,cumulative_gpa,cumulative_credits,enrollment_status,registration_system
S000001,2025SP,Senior,Physics,,,,3.07,123,not_enrolled,Workday
S000002,2025SP,Junior,English,,,,3.53,63,not_enrolled,Workday
S000003,2025SP,Sophomore,Biology,18,17,3.14,3.4,35,enrolled,Workday
S000004,2025SP,Junior,Mathematics,15,14,2.71,2.53,84,enrolled,Workday
S000005,2025SP,Junior,Economics,17,12,0.13,0.17,72,enrolled,Workday
S000006,2025SP,Senior,Economics,4,4,3.22,3.2,113,enrolled,Workday
S000007,2025SP,Senior,Psychology,12,12,3.35,3.12,163,enrolled,Workday
S000008,2025SP,Junior,Computer Science,18,17,3.2,3.18,86,enrolled,Workday
S000009,2025SP,Junior,Biochemistry,18,18,3.53,3.57,80,enrolled,Workday
S000010,2025SP,Freshman,Mathematics,12,12,3.51,3.54,20,enrolled,Workday
S000011,2025SP,Senior,Neuroscience,12,12,3.66,3.52,169,enrolled,Workday
S000013,2025SP,Senior,International and Global Studies,14,13,2.93,3.34,168,enrolled,Workday
S000015,2025SP,Senior,Economics,18,17,3.34,3.51,124,enrolled,Workday
S000016,2025SP,Senior,Music,8,8,3.49,3.11,169,enrolled,Workday
S000017,2025SP,Senior,Neuroscience,15,15,4.0,3.96,91,enrolled,Workday
S000018,2025SP,Junior,Computer Science,17,14,1.67,2.07,66,enrolled,Workday
S000020,2025SP,Junior,Neuroscience,15,14,3.12,3.62,65,enrolled,Workday
S000022,2025SP,Junior,Economics,12,12,3.5,3.48,68,enrolled,Workday
S000023,2025SP,Sophomore,Biochemistry,14,13,3.13,3.33,51,enrolled,Workday
S000024,2025SP,Senior,International and Global Studies,9,9,3.76,3.76,113,enrolled,Workday
S000025,2025SP,Sophomore,Philosophy,14,13,3.23,3.56,39,enrolled,Workday
S000026,2025SP,Senior,Computer Science,,,,2.67,134,not_enrolled,Workday
S000027,2025SP,Junior,Applied Mathematics,18,18,3.62,3.71,82,enrolled,Workday
S000028,2025SP,Sophomore,Economics,13,10,0.47,0.9,58,enrolled,Workday
S000029,2025SP,Junior,Biochemistry,18,17,2.76,2.85,78,enrolled,Workday
S000032,2025SP,Senior,International and Global Studies,17,17,3.61,3.62,179,enrolled,Workday
S000033,2025SP,Junior,American Studies,14,13,3.09,3.18,82,enrolled,Workday
S000034,2025SP,Junior,Psychology,13,12,3.03,3.32,62,enrolled,Workday
S000036,2025SP,Sophomore,Applied Mathematics,18,14,1.3,1.16,52,enrolled,Workday
S000037,2025SP,Senior,Biology,16,15,3.25,3.04,120,enrolled,Workday
S000039,2025SP,Senior,Neuroscience,18,18,3.45,3.35,120,enrolled,Workday
S000041,2025SP,Senior,"Health: Science, Society, and Policy",14,11,1.47,1.42,94,enrolled,Workday
S000042,2025SP,Sophomore,Psychology,13,13,3.44,3.31,44,enrolled,Workday
S000043,2025SP,Junior,Neuroscience,5,5,4.0,3.54,65,enrolled,Workday
S000044,2025SP,Sophomore,Biochemistry,18,13,0.47,0.77,44,enrolled,Workday
S000045,2025SP,Junior,International and Global Studies,17,17,3.65,3.65,80,enrolled,Workday
S000046,2025SP,Junior,Psychology,13,13,3.68,3.5,72,enrolled,Workday
S000047,2025SP,Freshman,Computer Science,10,9,2.2,2.52,29,enrolled,Workday
S000048,2025SP,Senior,Neuroscience,8,8,3.14,3.1,137,enrolled,Workday
S000049,2025SP,Senior,Biology,17,16,3.32,3.11,93,enrolled,Workday
S000050,2025SP,Senior,Economics,13,13,3.71,3.91,105,enrolled,Workday
S000051,2025SP,Junior,American Studies,15,15,3.41,3.15,81,enrolled,Workday
S000052,2025SP,Senior,Psychology,11,11,4.0,3.22,115,enrolled,Workday
S000053,2025SP,Senior,Economics,13,12,3.1,3.42,164,enrolled,Workday
S000054,2025SP,Junior,Biology,16,15,3.03,3.15,71,enrolled,Workday
S000055,2025SP,Senior,Biology,17,16,3.03,3.09,171,enrolled,Workday
S000056,2025SP,Senior,Politics,13,13,3.58,3.48,96,enrolled,Workday
S000057,2025SP,Junior,Computer Science,15,15,3.91,3.33,73,enrolled,Workday
S000058,2025SP,Junior,Politics,12,12,3.96,3.9,85,enrolled,Workday
S000059,2025SP,Senior,Applied Mathematics,15,15,3.84,3.59,122,enrolled,Workday
S000060,2025SP,Sophomore,Mathematics,10,10,3.85,3.72,39,enrolled,Workday
S000061,2025SP,Junior,Neuroscience,18,18,3.9,3.61,77,enrolled,Workday
S000062,2025SP,Junior,Computer Science,14,13,3.02,3.14,75,enrolled,Workday
S000063,2025SP,Sophomore,Computer Science,5,5,3.6,3.22,45,enrolled,Workday
S000064,2025SP,Sophomore,Chemistry,12,10,1.66,1.9,56,enrolled,Workday
S000065,2025SP,Senior,Biochemistry,,,,3.36,170,not_enrolled,Workday
S000066,2025SP,Sophomore,"Health: Science, Society, and Policy",13,13,3.35,3.42,59,enrolled,Workday
