student_id,term_code,class_level,major,credits_attempted,credits_earned,term_gpa,cumulative_gpa,cumulative_credits,enrollment_status,registration_system
S000001,2025SU,Senior,Physics,10,10,3.35,3.09,133,enrolled,Workday
S000002,2025SU,Junior,English,18,17,3.17,3.45,80,enrolled,Workday
S000003,2025SU,Sophomore,Biology,14,14,3.8,3.52,49,enrolled,Workday
S000004,2025SU,Senior,Psychology,14,12,2.35,2.51,96,enrolled,Workday
S000005,2025SU,Junior,Economics,6,5,0.74,0.2,77,enrolled,Workday
S000006,2025SU,Senior,Economics,16,16,3.67,3.26,129,enrolled,Workday
S000007,2025SU,Senior,Psychology,13,12,3.07,3.12,175,enrolled,Workday
S000008,2025SU,Junior,Computer Science,,,,3.18,86,not_enrolled,Workday
S000009,2025SU,Senior,Biochemistry,14,13,3.19,3.51,93,enrolled,Workday
S000010,2025SU,Sophomore,Mathematics,12,11,3.15,3.4,31,enrolled,Workday
S000011,2025SU,Senior,Neuroscience,16,16,3.58,3.52,185,enrolled,Workday
S000013,2025SU,Senior,International and Global Studies,9,9,3.1,3.32,177,enrolled,Workday
S000015,2025SU,Senior,Economics,6,6,3.41,3.51,130,enrolled,Workday
S000016,2025SU,Senior,Music,12,12,3.28,3.12,181,enrolled,Workday
S000017,2025SU,Senior,Neuroscience,12,12,4.0,3.97,103,enrolled,Workday
S000018,2025SU,Junior,Computer Science,11,10,2.2,2.09,76,enrolled,Workday
S000020,2025SU,Junior,Neuroscience,3,3,3.34,3.61,68,enrolled,Workday
S000021,2025SU,Junior,Physics,16,15,2.99,3.14,67,enrolled,Workday
S000022,2025SU,Junior,Economics,13,13,3.49,3.48,81,enrolled,Workday
S000023,2025SU,Junior,Biochemistry,15,14,3.17,3.29,65,enrolled,Workday
S000024,2025SU,Senior,International and Global Studies,18,18,4.0,3.79,131,enrolled,Workday
S000025,2025SU,Sophomore,Philosophy,4,4,4.0,3.6,43,enrolled,Workday
S000026,2025SU,Senior,Computer Science,16,14,2.36,2.64,148,enrolled,Workday
S000027,2025SU,Senior,Applied Mathematics,13,13,3.49,3.68,95,enrolled,Workday
S000029,2025SU,Senior,Biochemistry,17,16,2.84,2.85,94,enrolled,Workday
S000030,2025SU,Senior,Neuroscience,12,8,0.0,0.07,109,enrolled,Workday
S000031,2025SU,Freshman,Politics,10,10,3.64,3.79,18,enrolled,Workday
S000032,2025SU,Senior,International and Global Studies,7,7,3.28,3.61,186,enrolled,Workday
S000033,2025SU,Senior,American Studies,17,16,2.88,3.13,98,enrolled,Workday
S000034,2025SU,Junior,Psychology,14,13,2.83,3.24,75,enrolled,Workday
S000035,2025SU,Senior,American Studies,3,3,2.94,3.14,121,enrolled,Workday
S000036,2025SU,Sophomore,Applied Mathematics,9,7,1.33,1.18,59,enrolled,Workday
S000037,2025SU,Senior,Biology,18,17,2.9,3.02,137,enrolled,Workday
S000039,2025SU,Senior,Neuroscience,14,13,3.08,3.32,133,enrolled,Workday
S000041,2025SU,Senior,"Health: Science, Society, and Policy",12,9,0.94,1.38,103,enrolled,Workday
S000042,2025SU,Sophomore,Psychology,15,15,3.54,3.37,59,enrolled,Workday
S000043,2025SU,Junior,Neuroscience,10,10,3.22,3.5,75,enrolled,Workday
S000044,2025SU,Sophomore,Biochemistry,11,8,0.78,0.77,52,enrolled,Workday
S000045,2025SU,Junior,International and Global Studies,,,,3.65,80,not_enrolled,Workday
S000046,2025SU,Junior,Psychology,13,13,3.79,3.54,85,enrolled,Workday
S000047,2025SU,Freshman,Computer Science,,,,2.52,29,not_enrolled,Workday
S000048,2025SU,Senior,Neuroscience,15,14,2.56,3.05,151,enrolled,Workday
S000049,2025SU,Senior,Biology,12,12,3.25,3.13,105,enrolled,Workday
S000050,2025SU,Senior,Economics,15,15,4.0,3.92,120,enrolled,Workday
S000051,2025SU,Junior,American Studies,8,7,2.69,3.11,88,enrolled,Workday
S000052,2025SU,Senior,Psychology,15,15,3.66,3.27,130,enrolled,Workday
S000053,2025SU,Senior,Economics,15,15,3.79,3.46,179,enrolled,Workday
S000054,2025SU,Junior,Biology,14,14,3.73,3.25,85,enrolled,Workday
S000055,2025SU,Senior,Biology,16,15,2.64,3.05,186,enrolled,Workday
S000056,2025SU,Senior,Politics,14,14,3.92,3.53,110,enrolled,Workday
S000057,2025SU,Junior,Computer Science,10,9,3.02,3.3,82,enrolled,Workday
S000058,2025SU,Junior,Politics,,,,3.9,85,not_enrolled,Workday
S000059,2025SU,Senior,Applied Mathematics,4,4,3.73,3.59,126,enrolled,Workday
S000060,2025SU,Sophomore,Mathematics,11,11,4.0,3.78,50,enrolled,Workday
S000061,2025SU,Junior,Neuroscience,12,12,3.37,3.58,89,enrolled,Workday
S000062,2025SU,Junior,Neuroscience,14,13,2.71,3.08,88,enrolled,Workday
S000063,2025SU,Sophomore,Computer Science,12,11,2.71,3.12,56,enrolled,Workday
S000064,2025SU,Junior,Chemistry,17,14,1.55,1.83,70,enrolled,Workday
S000065,2025SU,Senior,Biochemistry,18,17,3.21,3.35,187,enrolled,Workday
S000066,2025SU,Junior,"Health: Science, Society, and Policy",11,11,3.68,3.46,70,enrolled,Workday
S000067,2025SU,Sophomore,"Health: Science, Society, and Policy",,,,2.84,59,not_enrolled,Workday
S000068,2025SU,Junior,Biochemistry,11,10,3.06,3.72,80,enrolled,Workday
S000069,2025SU,Senior,Sociology,15,13,2.48,2.93,101,enrolled,Workday
S000070,2025SU,Junior,Sociology,15,14,3.26,3.65,60,enrolled,Workday
S000071,2025SU,Senior,Biology,17,14,1.24,1.21,151,enrolled,Workday
S000072,2025SU,Senior,Biochemistry,5,4,1.69,1.93,97,enrolled,Workday
S000073,2025SU,Senior,Biochemistry,14,11,1.16,1.25,105,enrolled,Workday
S000075,2025SU,Senior,Business,18,18,4.0,3.52,170,enrolled,Workday
S000076,2025SU,Senior,East Asian Studies,12,12,3.25,3.37,113,enrolled,Workday
S000077,2025SU,Freshman,Mathematics,9,6,0.09,0.57,26,enrolled,Workday
S000078,2025SU,Sophomore,Anthropology,15,15,3.78,3.83,38,enrolled,Workday
S000079,2025SU,Senior,American Studies,,,,3.3,117,not_enrolled,Workday
